name	label	aggregator	fieldType	displayType	alias
dura	总时长	sum	2	number	页面总时长
consum_dura	消费时长	sum	2	number	消费总时长
expose_pv	曝光PV	sum	2	number	曝光PV
consum_pv	消费VV	sum	2	number	浏览PV
comment_area_pv	评论区浏览PV	sum	2	number	评论区浏览PV
comment_area_dura	评论区浏览时长	sum	2	number	评论区浏览时长
click_pv	点击PV	sum	2	number	点击PV_只有列表页有点击
all_consum_pv	完播完读PV	sum	2	number	完播完读PV
valid_consum_pv	有效播读PV	sum	2	number	有效播读PV
like_pv	点赞PV	sum	2	number	点赞PV
comment_pv	评论PV	sum	2	number	评论PV
share_pv	分享PV	sum	2	number	分享PV
negative_pv	负反馈PV	sum	2	number	负反馈PV
report_pv	举报PV	sum	2	number	举报PV
case when expose_pv>0 or consum_pv>0 then did end	信息流DAU	distinct-count	2	number	曝光UV
case when consum_pv>0 then did end	消费UV	distinct-count	2	number	浏览UV
case when comment_area_pv>0 then did end	评论区浏览UV	distinct-count	2	number	评论区浏览UV
case when click_pv>0 then did end	点击UV	distinct-count	2	number	点击UV
case when all_consum_pv>0 then did end	完播完读UV	distinct-count	2	number	完播完读UV
case when valid_consum_pv>0 then did end	有效播读UV	distinct-count	2	number	有效播读UV
case when like_pv>0 then did end	点赞UV	distinct-count	2	number	点赞UV
case when comment_pv>0 then did end	评论UV	distinct-count	2	number	评论UV
case when share_pv>0 then did end	转发UV	distinct-count	2	number	转发UV
case when negative_pv>0 then did end	负反馈UV	distinct-count	2	number	负反馈UV
case when report_pv>0 then did end	举报UV	distinct-count	2	number	举报UV
双频道列表页点击PV / 双频道列表页曝光PV	双频道列表页CTR		4	number	pvCTR
双频道列表页点击UV/双频道列表页曝光UV	双频道列表页UTR		4	number	uvCTR
页面总时长/曝光UV	人均时长		4	number	人均页面时长
完播完读PV/浏览PV	完播完读率		4	number	完播完读率
case when consum_pv>0 then item_id end	消费内容量	distinct-count	2	number	消费内容量
case when expose_pv>0 then item_id end	分发内容量	distinct-count	2	number	分发内容量
comment_cnt	item_comment_cnt	max	2	number	comment_cnt
like_cnt	item_like_cnt	max	2	number	like_cnt
share_cnt	item_share_cnt	max	2	number	share_cnt
case when expose_pv>0 then item_author_id end	分发作者量	distinct-count	2	number	分发作者量
TotalRatio(内容发布时间距离T_1的天数分段_取自内容池_,曝光PV)	时效分段曝光占比		4	number	时效分段曝光占比
djy_expose_pv	huoshan_expose_pv	sum	2	number	huoshan_expose_pv
huoshan_expose_pv	djy_expose_pv	sum	2	number	djy_expose_pv
avg_video_play_percent	avg_video_play_percent	avg	2	number	avg_video_play_percent
total_djy_expose_pv	total_djy_expose_pv	avg	2	number	total_djy_expose_pv
total_huoshan_expose_pv	total_huoshan_expose_pv	avg	2	number	total_huoshan_expose_pv
djy_expose_pv / total_djy_expose_pv	自建组曝光PV占比		4	number	自建组曝光PV占比
huoshan_expose_pv/ total_huoshan_expose_pv	火山组曝光PV占比		4	number	火山组曝光PV占比
firts_video_dura	沉浸流首条消费时长	sum	2	number	沉浸流首条消费时长
drop_firts_video_dura	沉浸流非首条消费时长	sum	2	number	沉浸流非首条消费时长
