日期,浏览器信息流有效DAU,浏览器信息流有效时长(分钟),内容中心信息流有效DAU,内容中心信息流有效时长(分钟),双端信息流有效DAU,双端信息流有效时长(分钟)
2026-04-01,7449022,137892030.91,17407582,230603639.36,24856604,368495670.27
2026-04-02,7761543,143896414.6,17540279,240554364.15,25301822,384450778.75
2026-04-03,7798069,140687669.51,18183249,248699669.15,25981318,389387338.66
2026-04-04,7250569,131376149.96,17964705,239230150.67,25215274,370606300.64
2026-04-05,7445474,133557253.54,18011108,241593797.83,25456582,375151051.37
2026-04-06,7558739,140680395.82,17760831,251874222.2,25319570,392554618.02
2026-04-07,7539968,137165357.75,17462300,234717695.9,25002268,371883053.65
2026-04-08,7478003,139199431.67,17478823,247360908.91,24956826,386560340.58
2026-04-09,7835618,147131563.03,17370798,246104314.67,25206416,393235877.7
2026-04-10,7761370,140460457.62,17439461,235774341.27,25200831,376234798.9
2026-04-11,7425407,140257328.03,17381233,257049190.83,24806640,397306518.86
2026-04-12,7534587,138354540.15,17265240,252346778.81,24799827,390701318.96
2026-04-13,7446992,135740048.78,17324330,236780744.42,24771322,372520793.2
2026-04-14,7554236,135092398.32,17331402,235550070.85,24885638,370642469.17
2026-04-15,7520167,129082648.3,17349301,232640426.88,24869468,361723075.18
2026-04-16,7435598,130810661.39,17369700,236097108.44,24805298,366907769.84
2026-04-17,7569006,132605352.87,17860239,245599238.91,25429245,378204591.78
2026-04-18,7292150,127867036.13,17588194,248108325.53,24880344,375975361.66
2026-04-19,7503547,135190309.64,17685152,251222166.21,25188699,386412475.85
2026-04-20,7455121,129616686.41,17526491,238743377.07,24981612,368360063.48
2026-04-21,7428952,134632509.75,17467414,251567107.68,24896366,386199617.43
2026-04-22,7408551,137148157.88,17381953,245924933.64,24790504,383073091.52
2026-04-23,7193522,132001133.12,17148280,234494901.94,24341802,366496035.07
2026-04-24,7452761,129114850.73,17327689,232183424.87,24780450,361298275.6
2026-04-25,7459811,128704746.65,17344750,244405788.66,24804561,373110535.31
2026-04-26,7402699,130755029.44,17304933,245301874.77,24707632,376056904.21
2026-04-27,7220889,126988122.89,17376849,236580050.96,24597738,363568173.85
2026-04-28,7488052,133350317.85,17453552,252745232.51,24941604,386095550.35
2026-04-29,7356036,133530846.72,17427391,248592702.09,24783427,382123548.81
2026-04-30,7184965,123593812.63,17890850,233223543.79,25075815,356817356.42
2026-05-01,7346603,127472084.68,18309773,248194814.98,25656376,375666899.66
2026-05-02,7328160,131293210.58,18238719,259787256.31,25566879,391080466.9
2026-05-03,7117486,133631411.38,17916292,258230487.4,25033778,391861898.78
2026-05-04,7446834,131946900.21,17595932,249262818.5,25042766,381209718.71
2026-05-05,7537788,134550784.77,17501497,255634963.85,25039285,390185748.62
2026-05-06,7390007,128265716.68,17386171,240638105.6,24776178,368903822.27
2026-05-07,7466588,134267333.89,17370879,243158259.88,24837467,377425593.77
2026-05-08,7353569,133030916.41,17245865,239043613.64,24599434,372074530.06
2026-05-09,7404468,130139259.65,17367613,239906773.99,24772081,370046033.65
2026-05-10,7520175,132680070.53,17757831,251388085.52,25278006,384068156.05
2026-05-11,7187809,125961896.39,17359544,233804643.16,24547353,359766539.55
2026-05-12,7338143,126422915.29,17377088,235841519.95,24715231,362264435.24
